year,chsa_code,chsa_name,month,deaths
2007,1380,Summerland,Jan,9
2007,1380,Summerland,Feb,10
2007,1380,Summerland,Mar,7
2007,1380,Summerland,Apr,13
2007,1380,Summerland,May,17
2007,1380,Summerland,Jun,11
2007,1380,Summerland,Jul,13
2007,1380,Summerland,Aug,5
2007,1380,Summerland,Sep,15
2007,1380,Summerland,Oct,12
2007,1380,Summerland,Nov,14
2007,1380,Summerland,Dec,14
2007,1390,Enderby,Jan,8
2007,1390,Enderby,Feb,6
2007,1390,Enderby,Mar,9
2007,1390,Enderby,Apr,6
2007,1390,Enderby,May,13
2007,1390,Enderby,Jun,8
2007,1390,Enderby,Jul,10
2007,1390,Enderby,Aug,9
2007,1390,Enderby,Sep,2
2007,1390,Enderby,Oct,5
2007,1390,Enderby,Nov,3
2007,1390,Enderby,Dec,5
2007,1410,Revelstoke,Jan,2
2007,1410,Revelstoke,Feb,6
2007,1410,Revelstoke,Mar,4
2007,1410,Revelstoke,Apr,1
2007,1410,Revelstoke,May,8
2007,1410,Revelstoke,Jun,4
2007,1410,Revelstoke,Jul,6
2007,1410,Revelstoke,Aug,5
2007,1410,Revelstoke,Sep,2
2007,1410,Revelstoke,Oct,7
2007,1410,Revelstoke,Nov,4
2007,1410,Revelstoke,Dec,2
2007,1420,Salmon Arm,Jan,31
2007,1420,Salmon Arm,Feb,27
2007,1420,Salmon Arm,Mar,27
2007,1420,Salmon Arm,Apr,21
2007,1420,Salmon Arm,May,27
2007,1420,Salmon Arm,Jun,31
2007,1420,Salmon Arm,Jul,28
2007,1420,Salmon Arm,Aug,20
2007,1420,Salmon Arm,Sep,20
2007,1420,Salmon Arm,Oct,23
2007,1420,Salmon Arm,Nov,38
2007,1420,Salmon Arm,Dec,34
2007,1431,Kamloops Centre North,Jan,40
2007,1431,Kamloops Centre North,Feb,33
2007,1431,Kamloops Centre North,Mar,24
2007,1431,Kamloops Centre North,Apr,32
2007,1431,Kamloops Centre North,May,31
2007,1431,Kamloops Centre North,Jun,37
2007,1431,Kamloops Centre North,Jul,32
2007,1431,Kamloops Centre North,Aug,24
2007,1431,Kamloops Centre North,Sep,24
2007,1431,Kamloops Centre North,Oct,29
2007,1431,Kamloops Centre North,Nov,26
2007,1431,Kamloops Centre North,Dec,31
2007,1432,Kamloops Centre South,Jan,32
2007,1432,Kamloops Centre South,Feb,34
2007,1432,Kamloops Centre South,Mar,24
2007,1432,Kamloops Centre South,Apr,29
2007,1432,Kamloops Centre South,May,23
2007,1432,Kamloops Centre South,Jun,24
2007,1432,Kamloops Centre South,Jul,27
2007,1432,Kamloops Centre South,Aug,35
2007,1432,Kamloops Centre South,Sep,27
2007,1432,Kamloops Centre South,Oct,26
2007,1432,Kamloops Centre South,Nov,23
2007,1432,Kamloops Centre South,Dec,24
2007,1433,Lower Thompson,Jan,18
2007,1433,Lower Thompson,Feb,8
2007,1433,Lower Thompson,Mar,11
2007,1433,Lower Thompson,Apr,9
2007,1433,Lower Thompson,May,15
2007,1433,Lower Thompson,Jun,4
2007,1433,Lower Thompson,Jul,11
2007,1433,Lower Thompson,Aug,10
2007,1433,Lower Thompson,Sep,10
2007,1433,Lower Thompson,Oct,8
2007,1433,Lower Thompson,Nov,12
2007,1433,Lower Thompson,Dec,8
2007,1440,100 Mile House,Jan,19
2007,1440,100 Mile House,Feb,13
2007,1440,100 Mile House,Mar,15
2007,1440,100 Mile House,Apr,9
2007,1440,100 Mile House,May,4
2007,1440,100 Mile House,Jun,7
2007,1440,100 Mile House,Jul,12
2007,1440,100 Mile House,Aug,10
2007,1440,100 Mile House,Sep,8
2007,1440,100 Mile House,Oct,13
2007,1440,100 Mile House,Nov,10
2007,1440,100 Mile House,Dec,16
2007,1450,North Thompson,Jan,4
2007,1450,North Thompson,Feb,4
2007,1450,North Thompson,Mar,3
2007,1450,North Thompson,Apr,7
2007,1450,North Thompson,May,3
2007,1450,North Thompson,Jun,1
2007,1450,North Thompson,Jul,1
2007,1450,North Thompson,Aug,1
2007,1450,North Thompson,Sep,3
2007,1450,North Thompson,Oct,6
2007,1450,North Thompson,Nov,5
2007,1450,North Thompson,Dec,4
2007,1461,West Cariboo,Jan,3
2007,1461,West Cariboo,Feb,1
2007,1461,West Cariboo,Mar,5
2007,1461,West Cariboo,Apr,2
2007,1461,West Cariboo,May,2
2007,1461,West Cariboo,Jun,3
2007,1461,West Cariboo,Jul,2
2007,1461,West Cariboo,Aug,2
2007,1461,West Cariboo,Sep,3
2007,1461,West Cariboo,Oct,2
2007,1461,West Cariboo,Nov,3
2007,1461,West Cariboo,Dec,4
2007,1462,Williams Lake/East Cariboo,Jan,17
2007,1462,Williams Lake/East Cariboo,Feb,11
2007,1462,Williams Lake/East Cariboo,Mar,9
2007,1462,Williams Lake/East Cariboo,Apr,9
2007,1462,Williams Lake/East Cariboo,May,20
2007,1462,Williams Lake/East Cariboo,Jun,15
2007,1462,Williams Lake/East Cariboo,Jul,14
2007,1462,Williams Lake/East Cariboo,Aug,10
2007,1462,Williams Lake/East Cariboo,Sep,12
2007,1462,Williams Lake/East Cariboo,Oct,14
2007,1462,Williams Lake/East Cariboo,Nov,12
2007,1462,Williams Lake/East Cariboo,Dec,17
2007,1470,Lillooet,Jan,2
2007,1470,Lillooet,Feb,3
2007,1470,Lillooet,Mar,2
2007,1470,Lillooet,Apr,7
2007,1470,Lillooet,May,0
2007,1470,Lillooet,Jun,5
2007,1470,Lillooet,Jul,2
2007,1470,Lillooet,Aug,1
2007,1470,Lillooet,Sep,2
2007,1470,Lillooet,Oct,3
2007,1470,Lillooet,Nov,2
2007,1470,Lillooet,Dec,3
2007,1480,South Cariboo,Jan,6
2007,1480,South Cariboo,Feb,2
2007,1480,South Cariboo,Mar,9
2007,1480,South Cariboo,Apr,9
2007,1480,South Cariboo,May,7
2007,1480,South Cariboo,Jun,7
2007,1480,South Cariboo,Jul,5
2007,1480,South Cariboo,Aug,7
2007,1480,South Cariboo,Sep,5
2007,1480,South Cariboo,Oct,3
2007,1480,South Cariboo,Nov,7
2007,1480,South Cariboo,Dec,3
2007,1490,Merritt,Jan,8
2007,1490,Merritt,Feb,6
2007,1490,Merritt,Mar,9
2007,1490,Merritt,Apr,11
2007,1490,Merritt,May,10
2007,1490,Merritt,Jun,12
2007,1490,Merritt,Jul,11
2007,1490,Merritt,Aug,3
2007,1490,Merritt,Sep,17
2007,1490,Merritt,Oct,9
2007,1490,Merritt,Nov,13
2007,1490,Merritt,Dec,6
2007,2110,Hope,Jan,8
2007,2110,Hope,Feb,7
2007,2110,Hope,Mar,14
2007,2110,Hope,Apr,6
2007,2110,Hope,May,7
2007,2110,Hope,Jun,15
2007,2110,Hope,Jul,8
2007,2110,Hope,Aug,7
2007,2110,Hope,Sep,16
2007,2110,Hope,Oct,11
2007,2110,Hope,Nov,5
2007,2110,Hope,Dec,6
2007,2121,South Chilliwack,Jan,20
2007,2121,South Chilliwack,Feb,21
2007,2121,South Chilliwack,Mar,33
2007,2121,South Chilliwack,Apr,22
2007,2121,South Chilliwack,May,23
2007,2121,South Chilliwack,Jun,14
2007,2121,South Chilliwack,Jul,24
2007,2121,South Chilliwack,Aug,24
2007,2121,South Chilliwack,Sep,22
2007,2121,South Chilliwack,Oct,25
2007,2121,South Chilliwack,Nov,23
2007,2121,South Chilliwack,Dec,24
2007,2122,North Chilliwack,Jan,35
2007,2122,North Chilliwack,Feb,35
2007,2122,North Chilliwack,Mar,40
2007,2122,North Chilliwack,Apr,38
2007,2122,North Chilliwack,May,38
2007,2122,North Chilliwack,Jun,27
2007,2122,North Chilliwack,Jul,40
2007,2122,North Chilliwack,Aug,32
2007,2122,North Chilliwack,Sep,32
2007,2122,North Chilliwack,Oct,26
2007,2122,North Chilliwack,Nov,37
2007,2122,North Chilliwack,Dec,38
2007,2131,Central Abbotsford,Jan,19
2007,2131,Central Abbotsford,Feb,28
2007,2131,Central Abbotsford,Mar,35
2007,2131,Central Abbotsford,Apr,18
2007,2131,Central Abbotsford,May,30
2007,2131,Central Abbotsford,Jun,27
2007,2131,Central Abbotsford,Jul,25
2007,2131,Central Abbotsford,Aug,28
2007,2131,Central Abbotsford,Sep,18
2007,2131,Central Abbotsford,Oct,28
2007,2131,Central Abbotsford,Nov,32
2007,2131,Central Abbotsford,Dec,17
2007,2132,East Abbotsford,Jan,13
2007,2132,East Abbotsford,Feb,11
2007,2132,East Abbotsford,Mar,5
2007,2132,East Abbotsford,Apr,3
2007,2132,East Abbotsford,May,6
2007,2132,East Abbotsford,Jun,4
2007,2132,East Abbotsford,Jul,10
2007,2132,East Abbotsford,Aug,9
2007,2132,East Abbotsford,Sep,10
2007,2132,East Abbotsford,Oct,11
2007,2132,East Abbotsford,Nov,9
2007,2132,East Abbotsford,Dec,8
2007,2133,West Abbotsford,Jan,40
2007,2133,West Abbotsford,Feb,25
2007,2133,West Abbotsford,Mar,32
2007,2133,West Abbotsford,Apr,32
2007,2133,West Abbotsford,May,35
2007,2133,West Abbotsford,Jun,33
2007,2133,West Abbotsford,Jul,34
2007,2133,West Abbotsford,Aug,37
2007,2133,West Abbotsford,Sep,35
2007,2133,West Abbotsford,Oct,43
2007,2133,West Abbotsford,Nov,25
2007,2133,West Abbotsford,Dec,21
2007,2134,Abbotsford Rural,Jan,8
2007,2134,Abbotsford Rural,Feb,8
2007,2134,Abbotsford Rural,Mar,7
2007,2134,Abbotsford Rural,Apr,4
